t,S,D,N,viralidad,avg_susceptibilidad,avg_actividad,D_credulos,D_escepticos,D_verificadores,D_super_propagadores,D_hubs,exposicion_media_desinfo,exposicion_max_desinfo,actividad_total_desinfo
124,56,47,297,0.26,0.5823984949939454,1.6922835573366402,29,10,8,9,9,0.2744218603120687,5.5710199552043775,105.84671077132138
125,57,44,299,0.2575,0.5830247890300704,1.6922835573366402,24,10,10,9,9,0.26461677692830343,5.099679774068436,108.14370190708566
126,53,45,302,0.2525,0.5836313151591435,1.6922835573366402,25,10,10,10,10,0.2703592547677141,5.4188241318565,110.39482000116494
127,49,46,305,0.245,0.5842648472392203,1.6922835573366402,27,9,10,9,9,0.27598705000291224,5.313892474254493,110.16841946999416
128,44,50,306,0.2375,0.5848946869189171,1.6922835573366402,28,9,13,9,9,0.2754210486749853,4.827680770178874,117.04461227091774
129,37,54,309,0.235,0.5855833301481219,1.6922835573366402,31,8,15,8,8,0.2926115306772943,5.186220066818312,126.50236514966262
130,39,49,312,0.2275,0.5863370935527918,1.6922835573366402,28,7,14,8,8,0.31625591287415644,5.577343994661783,112.84090633545539
131,36,51,313,0.22,0.5869814503376095,1.6922835573366402,30,8,13,8,8,0.2821022658386384,5.345482427437022,117.18832885267973
132,35,49,316,0.2175,0.5876402252517684,1.6922835573366402,27,9,13,7,7,0.2929708221316993,5.2684226910503575,106.54692196545075
133,33,49,318,0.21,0.5882372838300833,1.6922835573366402,26,10,13,6,6,0.26636730491362676,4.910006523222379,107.98810717079729
134,31,50,319,0.205,0.5888277144832798,1.6922835573366402,28,10,12,7,7,0.26997026792699313,4.856190269997727,109.57352944730184
135,29,51,320,0.2025,0.5894295239147399,1.6922835573366402,28,11,12,5,5,0.2739338236182545,4.913900539418622,110.50847339720053
136,30,49,321,0.2,0.5900640745525843,1.6922835573366402,28,10,11,5,5,0.2762711834930013,4.8600842861939695,106.81740662713774
137,32,45,323,0.1975,0.590678895604006,1.6922835573366402,26,10,9,5,5,0.2670435165678443,4.564329019350777,97.72812894590524
138,31,46,323,0.1925,0.5912482372136252,1.6922835573366402,28,11,7,5,5,0.24432032236476306,5.253574371592095,100.29105109906288
139,27,48,325,0.1925,0.5918234123188637,1.6922835573366402,29,11,8,5,5,0.2507276277476571,4.895035074952657,108.25446621377276
140,23,50,327,0.1875,0.5924406249252082,1.6922835573366402,30,11,9,5,5,0.2706361655344319,5.015530481054751,109.1584792982105
141,24,48,328,0.1825,0.5930733635995548,1.6922835573366402,28,10,10,5,5,0.27289619824552624,5.031126083331044,104.96227088163498
142,25,45,330,0.18,0.5936708317504685,1.6922835573366402,25,9,11,4,4,0.26240567720408736,5.031126083331044,100.540342193891
143,24,45,331,0.175,0.5942159437156682,1.6922835573366402,25,9,11,4,4,0.25135085548472746,5.190926088771636,101.44499149559773
144,27,42,331,0.1725,0.5947773981676652,1.6922835573366402,22,9,11,4,4,0.2536124787389944,5.558071269007115,94.51789753972014
145,25,44,331,0.1725,0.5952796281219238,1.6922835573366402,23,9,12,4,4,0.23629474384930035,4.90592349649987,97.15058549609448
146,21,46,333,0.1725,0.5957923168726268,1.6922835573366402,22,10,14,4,4,0.24287646374023608,4.696170288523449,101.13949051998539
147,21,45,334,0.1675,0.5963309948174469,1.6922835573366402,21,9,15,4,4,0.2528487262999634,5.389401850916533,95.20773294956737
148,22,44,334,0.165,0.5968423112132702,1.6922835573366402,22,8,14,4,4,0.2380193323739184,4.454063385375406,94.16125237218667
149,22,44,334,0.165,0.5973298979301701,1.6922835573366402,22,8,14,4,4,0.23540313093046655,4.454063385375406,94.16125237218667
150,24,42,334,0.165,0.5978147369669727,1.6922835573366402,22,8,12,3,3,0.23540313093046655,4.454063385375406,91.23602582099936
151,25,40,335,0.165,0.5982850504803353,1.6922835573366402,20,8,12,2,2,0.22809006455249836,4.454063385375406,79.6284432485573
152,26,39,335,0.1625,0.5987039326723702,1.6922835573366402,20,7,12,3,3,0.19907110812139325,3.615671874892616,88.1411985337079
153,28,36,336,0.1625,0.599120429975491,1.6922835573366402,19,6,11,3,3,0.22035299633426966,4.454063385375406,84.52654965976011
154,29,34,337,0.16,0.599525816180263,1.6922835573366402,20,5,9,4,4,0.21131637414940024,4.454063385375406,81.24362628806425
155,29,32,339,0.1575,0.5999117111294813,1.6922835573366402,19,5,8,3,3,0.20310906572016063,4.063239089392469,79.12726906624412
156,28,31,341,0.1525,0.6002867392692566,1.6922835573366402,18,6,7,3,3,0.1978181726656103,3.9485499225023224,74.90635174409286
