t,S,D,N,viralidad,avg_susceptibilidad,avg_actividad,D_credulos,D_escepticos,D_verificadores,D_super_propagadores,D_hubs,exposicion_media_desinfo,exposicion_max_desinfo,actividad_total_desinfo,tasa_cambio_D,estrategia
235,16,7,377,0.0575,0.3904067759144304,1.6922835573366402,4,2,1,1,1,0.05668358596700479,1.9542782145146285,25.32666322918738,1.0,Educación mediática
236,14,7,379,0.0575,0.3904734122312334,1.6922835573366402,4,2,1,1,1,0.06331665807296845,1.9542782145146285,25.32666322918738,0.0,Educación mediática
237,14,7,379,0.0525,0.3905398933341522,1.6922835573366402,4,2,1,1,1,0.06331665807296845,1.9542782145146285,25.32666322918738,0.0,Educación mediática
238,15,6,379,0.0525,0.39060621976020216,1.6922835573366402,3,2,1,1,1,0.06331665807296845,1.9542782145146285,24.091049048478652,-1.0,Educación mediática
239,15,6,379,0.0525,0.39066795473961363,1.6922835573366402,3,2,1,1,1,0.06022762262119663,1.9542782145146285,24.091049048478652,0.0,Educación mediática
240,16,4,380,0.0525,0.3907295392716257,1.6922835573366402,2,1,1,0,0,0.06022762262119663,1.9542782145146285,12.179424957366148,-2.0,Educación mediática
241,16,4,380,0.05,0.3907665855300657,1.6922835573366402,2,1,1,0,0,0.03044856239341537,1.9542782145146285,12.179424957366148,0.0,Educación mediática
242,17,3,380,0.05,0.3908035341995047,1.6922835573366402,2,0,1,0,0,0.03044856239341537,1.9542782145146285,11.764035530019012,-1.0,Educación mediática
243,16,4,380,0.05,0.3908393519652937,1.6922835573366402,3,0,1,0,0,0.029410088825047524,1.9542782145146285,12.999649710727736,1.0,Educación mediática
244,16,4,380,0.05,0.3908795097442875,1.6922835573366402,4,0,0,0,0,0.032499124276819336,1.9542782145146285,11.205350793500324,0.0,Educación mediática
245,14,6,380,0.05,0.39091115826812656,1.6922835573366402,5,1,0,1,1,0.028013376983750806,1.9542782145146285,22.153767092948964,2.0,Educación mediática
246,14,6,380,0.05,0.39096283177170754,1.6922835573366402,5,1,0,1,1,0.055384417732372404,1.9542782145146285,22.153767092948964,0.0,Educación mediática
247,15,5,380,0.05,0.391014371965122,1.6922835573366402,4,1,0,1,1,0.055384417732372404,1.9542782145146285,21.294837167790917,-1.0,Educación mediática
248,16,4,380,0.05,0.391063853143664,1.6922835573366402,4,0,0,1,1,0.053237092919477286,1.9542782145146285,20.760963275510935,-1.0,Educación mediática
249,15,5,380,0.05,0.3911114024431372,1.6922835573366402,5,0,0,1,1,0.05190240818877733,1.9542782145146285,21.04894529649638,1.0,Educación mediática
0,341,16,43,0.9,0.25878843377834826,1.6922835573366402,9,5,2,1,1,0.016328980648349863,0.6862796428349307,17.658264110983954,,Moderación de influencers
1,322,32,46,0.8925,0.2594565748451707,1.6922835573366402,16,12,4,5,5,0.044145660277459885,0.7807280876183095,49.02819251084993,16.0,Moderación de influencers
2,313,39,48,0.885,0.2613074713271194,1.6922835573366402,18,12,9,5,5,0.12257048127712483,2.1291308890758516,63.73624351708822,7.0,Moderación de influencers
3,295,56,49,0.88,0.2636423220905158,1.6922835573366402,28,19,9,11,11,0.15934060879272058,2.7884758018087474,99.74171397049618,17.0,Moderación de influencers
4,291,62,47,0.8775,0.26726950311552444,1.6922835573366402,28,23,11,14,14,0.24935428492624048,3.49967341134996,111.13225628435289,6.0,Moderación de influencers
5,290,62,48,0.8825,0.2711472918750092,1.6922835573366402,25,29,8,12,12,0.2778306407108823,4.187100636642255,117.05601943902944,0.0,Moderación de influencers
6,283,68,49,0.88,0.27510722618870737,1.6922835573366402,27,32,9,18,18,0.29264004859757364,3.9622351393198896,143.34462890746062,6.0,Moderación de influencers
7,283,64,53,0.8775,0.2797798182811946,1.6922835573366402,28,24,12,11,11,0.35836157226865156,4.692518885901505,136.20231703695652,-4.0,Moderación de influencers
8,267,79,54,0.8675,0.28404146823824744,1.6922835573366402,33,33,13,16,16,0.3405057925923913,5.089800082072861,159.90192236066434,15.0,Moderación de influencers
9,262,82,56,0.865,0.2889419816704479,1.6922835573366402,38,31,13,18,18,0.39975480590166085,5.338047209547773,168.8494708636478,3.0,Moderación de influencers
10,260,84,56,0.86,0.293864734474147,1.6922835573366402,39,32,13,19,19,0.4221236771591196,6.319264398454365,159.41184193782743,2.0,Moderación de influencers
11,257,85,58,0.86,0.29842569866047747,1.6922835573366402,36,32,17,21,21,0.3985296048445687,5.445875844958975,176.1277965531715,1.0,Moderación de influencers
12,250,90,60,0.855,0.30314786188983556,1.6922835573366402,41,32,17,20,20,0.4403194913829289,5.815277748709918,180.7078766471428,5.0,Moderación de influencers
13,237,102,61,0.85,0.30777847748749676,1.6922835573366402,45,37,20,22,22,0.45176969161785707,6.1379485238321205,201.17862464834866,12.0,Moderación de influencers
14,238,98,64,0.8475,0.3127598669343672,1.6922835573366402,48,37,13,21,21,0.5029465616208717,6.029324000607092,202.2831488420088,-4.0,Moderación de influencers
15,230,105,65,0.84,0.3174572314698544,1.6922835573366402,50,37,18,22,22,0.5057078721050222,7.1851299899908625,219.90995756869611,7.0,Moderación de influencers
16,226,106,68,0.8375,0.3223454283343649,1.6922835573366402,46,40,20,25,25,0.5497748939217406,8.348349738230114,221.2326071998175,1.0,Moderación de influencers
17,232,99,69,0.83,0.327011912956942,1.6922835573366402,49,31,19,23,23,0.553081517999544,7.253431758737239,210.90433337700372,-7.0,Moderación de influencers
18,231,99,70,0.8275,0.3312460193378072,1.6922835573366402,49,33,17,23,23,0.5272608334425096,7.61507015500578,205.35449663135088,0.0,Moderación de influencers
19,232,98,70,0.825,0.3351866746646406,1.6922835573366402,47,29,22,23,23,0.5133862415783774,7.809039990438522,206.56780125395372,-1.0,Moderación de influencers
20,237,93,70,0.825,0.33901270814948004,1.6922835573366402,45,29,19,23,23,0.5164195031348846,7.5888987975333,193.9798252109228,-5.0,Moderación de influencers
21,238,91,71,0.825,0.3424718937332205,1.6922835573366402,46,29,16,19,19,0.4849495630273071,6.892198850993102,173.00160726318333,-2.0,Moderación de influencers
22,227,100,73,0.8225,0.3454668068320027,1.6922835573366402,46,37,17,19,19,0.4325040181579584,6.942238825740822,192.03625936059203,9.0,Moderación de influencers
23,214,111,75,0.8175,0.3486739187920419,1.6922835573366402,49,43,19,23,23,0.48009064840148014,8.575212130874018,230.35507448638262,11.0,Moderación de influencers
24,219,106,75,0.8125,0.3524740439552347,1.6922835573366402,49,38,19,18,18,0.5758876862159568,8.877912734978477,200.87760922423843,-5.0,Moderación de influencers
25,216,106,78,0.8125,0.3557145680500524,1.6922835573366402,52,38,16,22,22,0.5021940230605962,8.435657954078179,218.45975629957996,0.0,Moderación de influencers
26,209,111,80,0.805,0.35909526436310535,1.6922835573366402,55,40,16,22,22,0.5461493907489501,9.792231219511608,225.80233677555842,5.0,Moderación de influencers
27,209,106,85,0.8,0.3624818211597902,1.6922835573366402,49,40,17,21,21,0.5645058419388961,8.99125752001004,224.0175272610953,-5.0,Moderación de influencers
28,203,110,87,0.7875,0.3657800504617987,1.6922835573366402,51,46,13,23,23,0.5600438181527384,7.747230832265905,203.68716787759047,4.0,Moderación de influencers
29,205,108,87,0.7825,0.3687607260883464,1.6922835573366402,49,45,14,20,20,0.5092179196939762,7.511122828203974,217.38984277617476,-2.0,Moderación de influencers
30,204,106,90,0.7825,0.3718076767843364,1.6922835573366402,53,39,14,21,21,0.543474606940437,7.489368377796111,214.37215193669758,-2.0,Moderación de influencers
31,209,98,93,0.775,0.374743643161912,1.6922835573366402,47,37,14,18,18,0.535930379841744,7.4889720297149065,191.51429766418718,-8.0,Moderación de influencers
32,208,98,94,0.7675,0.3773165167150133,1.6922835573366402,46,40,12,18,18,0.47878574416046793,7.076503531451448,191.14172358261175,0.0,Moderación de influencers
33,209,95,96,0.765,0.3798238515553446,1.6922835573366402,45,39,11,16,16,0.4778543089565295,7.557328127810469,165.9771753015352,-3.0,Moderación de influencers
34,197,104,99,0.76,0.38204236112539475,1.6922835573366402,49,41,14,21,21,0.41494293825383805,5.784044196642645,192.65391851162298,9.0,Moderación de influencers
35,200,99,101,0.7525,0.3845851038121518,1.6922835573366402,46,38,15,20,20,0.4816347962790578,7.209724003016698,201.15783430926234,-5.0,Moderación de influencers
36,194,103,103,0.7475,0.3870993929555872,1.6922835573366402,48,39,16,24,24,0.5028945857731562,7.432999880179421,203.17642594780438,4.0,Moderación de influencers
37,194,101,105,0.7425,0.3896021832214731,1.6922835573366402,46,41,14,20,20,0.5079410648695111,7.365652527079294,212.2721120189456,-2.0,Moderación de influencers
38,190,103,107,0.7375,0.39216340391247984,1.6922835573366402,50,38,15,23,23,0.5306802800473642,8.121234628351399,215.3248676951011,2.0,Moderación de influencers
39,180,109,111,0.7325,0.3946314839825212,1.6922835573366402,52,39,18,23,23,0.5383121692377527,8.615719589782172,224.5873636265262,6.0,Moderación de influencers
